city,date,fare,ride_id,driver_count,type
Lake Jonathanshire,2018-01-14 10:14:22,13.83,5739410935873,5,Urban
South Michelleport,2018-03-04 18:24:09,30.24,2343912425577,72,Urban
Port Samanthamouth,2018-02-24 04:29:00,33.44,2005065760003,57,Urban
Rodneyfort,2018-02-10 23:22:03,23.44,5149245426178,34,Urban
South Jack,2018-03-06 04:28:35,34.58,3908451377344,46,Urban
South Latoya,2018-03-11 12:26:48,9.52,1994999424437,10,Urban
New Paulville,2018-02-27 11:17:56,43.25,793208410091,44,Urban
Simpsonburgh,2018-04-26 00:43:24,35.98,111953927754,21,Urban
South Karenland,2018-01-08 03:28:48,35.09,7995623208694,4,Urban
North Jasmine,2018-03-09 06:26:29,42.81,5327642267789,33,Urban
New Kimberlyborough,2018-02-07 01:10:11,9.34,7992781920789,33,Urban
West Angela,2018-01-12 01:45:27,26.86,4820052223501,48,Urban
Rodneyfort,2018-03-02 18:03:20,44.26,2494064867705,34,Urban
West Angela,2018-01-10 12:17:31,12.74,2108723916092,48,Urban
Roberthaven,2018-05-04 14:48:56,25.66,1026197778354,47,Urban
North Jason,2018-03-28 22:28:44,9.19,7007022521141,6,Urban
Williamsview,2018-01-03 16:19:25,18.93,1979492913169,46,Urban
Leahton,2018-02-26 18:42:15,8.85,6966668662612,17,Urban
West Anthony,2018-03-06 02:27:01,10.02,9396763280782,70,Urban
New Kimberlyborough,2018-04-25 22:58:38,29.67,4823568522144,33,Urban
Roberthaven,2018-02-24 10:26:34,7.8,2180566685151,47,Urban
New Paulton,2018-05-01 03:12:49,8.28,8527101897862,44,Urban
West Patrickchester,2018-03-19 05:46:20,40.86,898889456779,25,Urban
Deanville,2018-04-25 03:29:09,41.52,6055928921559,49,Urban
West Josephberg,2018-02-19 16:22:09,36.39,3322126516683,45,Urban
West Samuelburgh,2018-05-03 14:33:41,41.12,7330842806458,73,Urban
West Heidi,2018-03-14 23:46:50,24.4,4908573010166,28,Urban
Loganberg,2018-04-01 01:06:03,8.23,678728883160,23,Urban
Huntermouth,2018-02-10 23:32:13,25.79,1880379662035,37,Urban
South Latoya,2018-01-11 18:44:14,27.41,8662301917375,10,Urban
New Paulville,2018-03-18 22:54:11,25.05,5031803855561,44,Urban
Grahamburgh,2018-01-15 11:44:20,40.69,307021255892,61,Urban
Port Frank,2018-02-02 14:14:37,41.47,6746609056348,23,Urban
East Kaylahaven,2018-02-28 04:13:57,25.96,3662521920044,65,Urban
Rodneyfort,2018-02-03 00:48:41,44.86,2325699544245,34,Urban
South Karenland,2018-02-12 06:52:03,36.01,4015929454731,4,Urban
West Robert,2018-02-15 04:21:47,12.28,1442502460354,39,Urban
North Markport,2018-02-18 08:17:35,38.09,925012921771,22,Urban
Williamsview,2018-03-12 06:47:43,8.35,1940440908308,46,Urban
Richardfort,2018-02-24 08:40:38,13.93,5628545007794,38,Urban
New Kimberlyborough,2018-03-14 16:47:25,27.9,6750798028086,33,Urban
Reynoldsfurt,2018-03-25 14:33:27,34.06,6604420154219,67,Urban
South Karenland,2018-05-08 02:31:25,41.33,5688921852912,4,Urban
Rodneyfort,2018-04-25 20:57:43,21.7,8534600667414,34,Urban
Justinberg,2018-04-23 08:59:48,14.65,9878231118211,39,Urban
West Josephberg,2018-03-05 03:27:34,12.91,102684585771,45,Urban
South Karenland,2018-03-03 14:48:30,37.3,4104001937078,4,Urban
Leahton,2018-05-05 10:34:50,17.05,5846586406028,17,Urban
Martinezhaven,2018-03-19 15:31:26,5.3,264337981979,25,Urban
North Jason,2018-03-03 02:13:37,28.02,2670554129601,6,Urban
Jerryton,2018-03-03 17:50:23,28.08,6003411645536,64,Urban
Lake Scottton,2018-02-18 09:22:35,25.02,3909343123179,58,Urban
South Evanton,2018-02-14 05:55:36,42.5,9953662403430,11,Urban
Rogerston,2018-05-08 01:54:18,32.69,1643407853276,25,Urban
West Samuelburgh,2018-05-02 13:55:01,38.77,2931685225267,73,Urban
West Ericstad,2018-04-24 03:20:14,7.31,4292477885655,25,Urban
New Paulville,2018-03-10 10:45:24,4.43,1213919861269,44,Urban
Hurleymouth,2018-05-04 21:50:30,21.44,4039657784670,36,Urban
West Samuelburgh,2018-03-03 03:17:20,25.17,1781749929829,73,Urban
Joneschester,2018-03-01 18:48:35,34.71,3343258153690,39,Urban
New Paulville,2018-04-03 07:51:03,32.7,9562561279062,44,Urban
Simpsonburgh,2018-01-19 23:06:27,15.83,233191052705,21,Urban
Port Angela,2018-04-17 06:23:18,16.34,7120534266772,67,Urban
West Ericstad,2018-04-04 13:03:16,28.52,6432849151942,25,Urban
New Kimberlyborough,2018-03-16 01:38:48,17.19,2770472867019,33,Urban
Joneschester,2018-01-30 17:41:45,36.78,1664032953575,39,Urban
